pi mu_age sigma_age mu_mass sigma_mass mu_y0 sigma_y0 mu_z0 sigma_z0 mu_alpha sigma_alpha mu_overshoot sigma_overshoot mu_diffusion sigma_diffusion mu_undershoot sigma_undershoot mu_radius sigma_radius mu_luminosity sigma_luminosity
0.0 4.479 0.424 1.473 0.029 0.25 0.01 0.03 0.002 2.413 0.067 0.65 0.075 0.006 0.001 0.055 0.002 0.842 0.07 5.404 0.294 
0.0 3.953 0.163 1.339 0.03 0.214 0.02 0.025 0.003 1.954 0.082 1.61 0.035 0.49 0.169 0.11 0.021 1.374 0.066 6.321 0.63 
0.0 3.262 0.127 1.346 0.034 -0.249 0.014 0.02 0.002 1.158 0.042 0.658 0.043 0.007 0.001 0.088 0.005 2.236 0.018 6.624 0.17 
0.137 4.173 0.223 1.337 0.051 0.265 0.021 0.021 0.002 1.907 0.109 0.035 0.013 2.259 0.498 0.062 0.027 2.213 0.03 5.078 0.474 
0.263 4.753 0.32 1.3 0.056 0.259 0.012 0.021 0.002 1.904 0.097 0.001 0.001 0.001 0.001 0.01 0.009 2.208 0.031 4.524 0.257 
0.016 4.371 0.323 1.355 0.061 0.254 0.011 0.025 0.003 2.341 0.136 0.09 0.037 0.115 0.041 0.115 0.036 2.23 0.037 4.919 0.451 
0.291 5.038 0.71 1.359 0.057 0.232 0.009 0.026 0.004 1.914 0.107 0.008 0.007 0.735 0.654 0.361 0.274 2.245 0.028 4.729 0.356 
0.0 3.321 0.076 1.304 0.025 -0.454 0.056 0.032 0.007 2.589 0.037 0.045 0.004 0.005 0.0 0.943 0.009 2.217 0.014 5.541 0.255 
0.0 3.121 0.089 1.361 0.035 0.338 0.012 0.049 0.001 2.02 0.052 0.907 0.029 0.272 0.052 0.732 0.014 1.089 0.068 6.022 0.297 
0.0 3.935 0.285 1.392 0.03 0.251 0.016 0.013 0.001 2.394 0.061 0.728 0.042 0.118 0.025 0.195 0.016 1.078 0.069 5.392 0.297 
0.29 4.363 0.288 1.355 0.059 0.292 0.021 0.024 0.003 2.035 0.12 0.311 0.165 0.022 0.025 0.001 0.001 2.227 0.033 4.816 0.34 
0.0 6.223 0.536 1.429 0.019 -0.71 0.047 0.027 0.001 2.14 0.063 0.667 0.024 0.076 0.002 0.127 0.012 2.252 0.026 6.149 0.197 
0.0 3.352 0.185 1.364 0.033 -0.229 0.032 0.02 0.001 2.725 0.034 0.594 0.042 0.124 0.032 2.701 0.04 2.204 0.023 5.331 0.263 
0.002 5.125 0.637 1.292 0.049 0.275 0.019 0.033 0.005 1.242 0.116 0.582 0.073 2.512 0.218 0.916 0.032 2.155 0.03 4.808 0.627 
0.0 3.485 0.061 1.405 0.03 0.274 0.011 0.038 0.009 2.579 0.032 0.318 0.047 0.004 0.001 0.818 0.013 0.821 0.167 5.432 0.175 
0.0 5.703 0.465 1.322 0.036 0.261 0.019 0.03 0.002 2.158 0.047 0.032 0.002 0.004 0.0 1.504 0.068 2.245 0.02 5.349 0.329 
