pi mu_age sigma_age mu_mass sigma_mass mu_y0 sigma_y0 mu_z0 sigma_z0 mu_alpha sigma_alpha mu_overshoot sigma_overshoot mu_diffusion sigma_diffusion mu_undershoot sigma_undershoot mu_radius sigma_radius mu_luminosity sigma_luminosity
0.0 5.056 0.439 1.427 0.025 0.251 0.01 0.026 0.002 2.443 0.07 0.601 0.083 0.006 0.001 0.057 0.002 0.712 0.058 4.773 0.209 
0.0 4.099 0.16 1.261 0.024 0.235 0.017 0.024 0.003 1.972 0.084 1.659 0.035 0.575 0.152 0.121 0.017 1.28 0.052 5.56 0.599 
0.0 3.49 0.113 1.272 0.03 -0.237 0.011 0.019 0.002 1.083 0.034 0.595 0.038 0.008 0.001 0.095 0.004 2.089 0.014 5.873 0.148 
0.102 4.362 0.179 1.269 0.041 0.259 0.02 0.018 0.002 1.807 0.089 0.036 0.014 2.053 0.64 0.065 0.032 2.092 0.024 4.286 0.335 
0.303 5.673 0.329 1.23 0.041 0.253 0.011 0.019 0.002 1.807 0.086 0.001 0.001 0.001 0.001 0.01 0.009 2.082 0.024 3.945 0.181 
0.005 4.846 0.335 1.268 0.049 0.254 0.011 0.024 0.003 2.274 0.139 0.074 0.031 0.118 0.034 0.097 0.031 2.085 0.029 4.261 0.357 
0.29 5.93 0.599 1.268 0.042 0.232 0.008 0.022 0.003 1.813 0.093 0.009 0.007 0.522 0.404 0.374 0.284 2.107 0.022 4.121 0.245 
0.0 3.529 0.069 1.222 0.022 -0.416 0.049 0.03 0.006 2.601 0.032 0.048 0.004 0.005 0.0 0.936 0.008 2.053 0.012 4.958 0.224 
0.0 3.376 0.076 1.273 0.036 0.319 0.01 0.044 0.001 2.026 0.055 0.979 0.027 0.272 0.053 0.764 0.011 1.035 0.063 5.086 0.257 
0.0 4.433 0.303 1.324 0.027 0.261 0.015 0.012 0.001 2.467 0.052 0.712 0.035 0.12 0.023 0.185 0.014 1.009 0.055 4.769 0.293 
0.3 5.178 0.325 1.26 0.045 0.28 0.018 0.021 0.002 1.916 0.101 0.264 0.167 0.02 0.021 0.001 0.001 2.091 0.026 4.181 0.232 
0.0 6.929 0.578 1.332 0.018 -0.732 0.037 0.026 0.001 1.99 0.05 0.614 0.02 0.08 0.002 0.13 0.009 2.108 0.021 5.259 0.145 
0.0 3.567 0.171 1.312 0.029 -0.247 0.03 0.019 0.001 2.688 0.03 0.544 0.039 0.135 0.027 2.584 0.036 2.053 0.019 4.778 0.244 
0.0 5.857 0.718 1.197 0.038 0.283 0.016 0.027 0.004 1.209 0.096 0.502 0.069 1.777 0.181 0.96 0.035 2.005 0.025 4.251 0.494 
0.0 3.546 0.056 1.311 0.026 0.278 0.011 0.035 0.01 2.607 0.028 0.285 0.039 0.005 0.0 0.823 0.013 0.673 0.147 4.855 0.147 
0.0 6.143 0.328 1.26 0.03 0.276 0.016 0.025 0.002 2.132 0.043 0.036 0.002 0.005 0.0 1.554 0.062 2.104 0.016 4.781 0.326 
