pi mu_age sigma_age mu_mass sigma_mass mu_y0 sigma_y0 mu_z0 sigma_z0 mu_alpha sigma_alpha mu_overshoot sigma_overshoot mu_diffusion sigma_diffusion mu_undershoot sigma_undershoot mu_radius sigma_radius mu_luminosity sigma_luminosity
0.0 3.58 0.242 1.4 0.02 0.257 0.007 0.019 0.002 2.189 0.063 0.492 0.066 0.008 0.0 0.055 0.0 0.672 0.062 6.545 0.219 
0.0 3.615 0.126 1.3 0.018 0.23 0.014 0.02 0.002 1.745 0.094 1.425 0.03 0.523 0.134 0.126 0.009 1.172 0.057 7.176 0.703 
0.0 2.733 0.084 1.289 0.031 -0.266 0.009 0.019 0.001 1.191 0.024 0.647 0.028 0.009 0.001 0.078 0.003 2.001 0.011 7.127 0.16 
0.24 3.264 0.089 1.303 0.036 0.252 0.02 0.011 0.001 1.773 0.079 0.029 0.017 1.577 0.774 0.057 0.038 2.007 0.017 5.815 0.242 
0.276 3.363 0.111 1.287 0.039 0.25 0.01 0.012 0.001 1.845 0.073 0.001 0.0 0.001 0.001 0.009 0.006 2.006 0.02 5.584 0.181 
0.001 3.332 0.318 1.332 0.035 0.243 0.007 0.014 0.003 2.203 0.139 0.068 0.012 0.115 0.037 0.098 0.015 2.025 0.016 5.733 0.233 
0.244 3.648 0.28 1.32 0.033 0.229 0.006 0.015 0.002 1.904 0.078 0.005 0.004 0.491 0.304 0.317 0.189 2.027 0.016 5.826 0.213 
0.0 2.729 0.07 1.164 0.02 -0.388 0.043 0.036 0.004 2.391 0.028 0.054 0.002 0.007 0.0 0.957 0.006 2.063 0.01 5.446 0.204 
0.0 2.565 0.056 1.355 0.023 0.294 0.009 0.032 0.001 1.903 0.052 0.748 0.025 0.427 0.045 0.647 0.007 0.976 0.054 7.359 0.163 
0.0 3.342 0.232 1.307 0.02 0.295 0.011 0.012 0.0 2.251 0.038 0.717 0.025 0.108 0.016 0.152 0.005 1.036 0.053 5.64 0.227 
0.238 3.135 0.129 1.317 0.039 0.275 0.02 0.013 0.001 1.913 0.089 0.121 0.067 0.026 0.026 0.001 0.0 2.014 0.021 5.85 0.206 
0.0 5.106 0.389 1.314 0.014 -0.617 0.031 0.025 0.001 1.929 0.063 0.647 0.015 0.087 0.001 0.125 0.004 2.032 0.014 7.178 0.195 
0.0 2.893 0.088 1.276 0.021 -0.222 0.028 0.02 0.001 2.455 0.033 0.608 0.03 0.166 0.021 2.602 0.025 2.059 0.014 5.816 0.235 
0.001 3.935 0.6 1.256 0.034 0.281 0.012 0.019 0.003 1.264 0.134 0.317 0.054 2.016 0.202 0.91 0.062 1.974 0.02 5.85 0.318 
0.0 2.799 0.044 1.287 0.024 0.286 0.011 0.037 0.007 2.389 0.027 0.313 0.025 0.006 0.0 0.739 0.012 0.708 0.11 5.558 0.164 
0.0 4.874 0.181 1.269 0.019 0.276 0.012 0.021 0.001 1.692 0.038 0.033 0.001 0.005 0.0 1.373 0.047 2.046 0.012 5.582 0.286 
