pi mu_age sigma_age mu_mass sigma_mass mu_y0 sigma_y0 mu_z0 sigma_z0 mu_alpha sigma_alpha mu_overshoot sigma_overshoot mu_diffusion sigma_diffusion mu_undershoot sigma_undershoot mu_radius sigma_radius mu_luminosity sigma_luminosity
0.0 5.962 0.433 1.251 0.027 0.244 0.012 0.018 0.002 2.62 0.064 0.629 0.081 0.004 0.001 0.053 0.003 0.544 0.053 3.992 0.172 
0.0 4.445 0.135 1.091 0.021 0.234 0.018 0.021 0.003 2.132 0.084 1.87 0.032 0.689 0.15 0.13 0.018 1.14 0.047 4.88 0.446 
0.0 3.813 0.114 1.121 0.027 -0.185 0.012 0.017 0.002 1.076 0.031 0.588 0.042 0.008 0.001 0.116 0.004 1.875 0.013 5.105 0.104 
0.12 4.374 0.178 1.125 0.033 0.297 0.02 0.014 0.002 1.947 0.092 0.036 0.014 1.911 0.404 0.07 0.045 1.842 0.02 3.669 0.284 
0.255 6.697 1.695 1.069 0.035 0.292 0.016 0.014 0.002 1.888 0.091 0.001 0.0 0.001 0.001 0.011 0.007 1.823 0.02 3.4 0.164 
0.021 5.309 0.303 1.12 0.039 0.276 0.013 0.019 0.003 2.425 0.111 0.081 0.051 0.129 0.023 0.121 0.029 1.845 0.019 3.684 0.246 
0.383 7.044 1.636 1.096 0.048 0.269 0.022 0.018 0.003 1.919 0.113 0.008 0.006 0.843 0.713 0.33 0.266 1.845 0.025 3.512 0.215 
0.0 3.775 0.065 1.116 0.022 -0.327 0.049 0.028 0.006 2.708 0.029 0.048 0.003 0.005 0.0 0.908 0.008 1.885 0.011 4.173 0.155 
0.0 3.839 0.061 1.206 0.033 0.284 0.009 0.027 0.001 2.265 0.072 0.937 0.025 0.238 0.074 0.761 0.012 0.919 0.058 4.33 0.229 
0.0 5.212 0.299 1.219 0.024 0.24 0.016 0.009 0.001 2.666 0.049 0.735 0.027 0.093 0.019 0.164 0.019 0.933 0.044 4.099 0.29 
0.22 6.013 1.201 1.098 0.042 0.321 0.014 0.017 0.003 2.069 0.114 0.354 0.355 0.027 0.031 0.001 0.001 1.838 0.023 3.599 0.215 
0.0 7.932 0.603 1.164 0.018 -0.66 0.04 0.021 0.001 1.968 0.043 0.579 0.019 0.078 0.002 0.116 0.009 1.907 0.019 4.521 0.138 
0.0 3.884 0.166 1.185 0.026 -0.222 0.03 0.015 0.001 2.84 0.031 0.49 0.045 0.173 0.021 2.307 0.034 1.828 0.018 4.007 0.172 
0.001 7.019 1.09 1.029 0.03 0.316 0.02 0.018 0.003 1.248 0.148 0.773 0.076 2.23 0.221 0.918 0.032 1.75 0.02 3.433 0.325 
0.0 3.674 0.053 1.218 0.026 0.239 0.012 0.032 0.008 2.755 0.03 0.228 0.03 0.005 0.0 0.809 0.014 0.583 0.13 4.19 0.106 
0.0 6.642 0.293 1.172 0.03 0.267 0.017 0.019 0.002 2.386 0.045 0.037 0.002 0.004 0.0 1.62 0.062 1.877 0.014 4.126 0.258 
