id l freq freq_err
11026764 0 620.42 0.18
11026764 0 674.57 0.32
11026764 0 723.52 0.33
11026764 0 772.74 0.12
11026764 0 823.18 0.18
11026764 0 873.73 0.16
11026764 0 924.01 0.16
11026764 0 974.46 0.15
11026764 0 1025.49 0.16
11026764 0 1076.14 0.15
11026764 1 654.45 0.26
11026764 1 694.13 0.11
11026764 1 755.16 0.24
11026764 1 799.54 0.17
11026764 1 847.37 0.19
11026764 1 894.00 0.19
11026764 1 925.43 0.11
11026764 1 954.11 0.11
11026764 1 1000.37 0.21
11026764 1 1050.23 0.25
11026764 1 1100.02 0.23
11026764 2 620.60 0.19
11026764 2 669.42 0.22
11026764 2 718.89 0.23
11026764 2 818.63 0.15
11026764 2 868.86 0.18
11026764 2 919.83 0.18
11026764 2 970.14 0.12
11026764 2 1020.29 0.22
11026764 2 1072.12 0.28
